Date,Consumption [kW],MCB 1001 [kW],MCB 1002 [kW],MCB 901 [kW],MCB 902 [kW]
2025-07-31 09:20:00,0,"0,004","0,001","7,736","7,339"
2025-07-31 09:15:00,0,"0,004","0,001","7,531","7,41"
2025-07-31 09:10:00,0,"0,004","0,001","7,489","7,199"
2025-07-31 09:05:00,0,"0,004","0,001","7,484","6,665"
2025-07-31 09:00:00,0,"0,004","0,001","7,469","6,587"
2025-07-31 08:55:00,0,"0,004","0,001","7,532","6,623"
2025-07-31 08:50:00,0,"0,004","0,001","7,532","6,46"
2025-07-31 08:45:00,0,"0,004","0,001","7,262","6,62"
2025-07-31 08:40:00,0,"0,004","0,001","7,027","6,532"
2025-07-31 08:35:00,0,"0,004","0,001","7,056","6,558"
2025-07-31 08:30:00,0,"0,004","0,001","7,061","6,895"
2025-07-31 08:25:00,0,"0,004","0,001","7,171","6,39"
2025-07-31 08:20:00,0,"0,004","0,001","6,966","6,071"
2025-07-31 08:15:00,0,"0,004","0,001","6,989","6,176"
2025-07-31 08:10:00,0,"0,004","0,001","7,028","6,029"
2025-07-31 08:05:00,0,"0,004","0,001","7,061","6,025"
2025-07-31 08:00:00,0,"0,004","0,001","7,142","6,054"
2025-07-31 07:55:00,0,"0,004","0,001","7,372","6,146"
2025-07-31 07:50:00,0,"0,004","0,001","7,448","5,976"
2025-07-31 07:45:00,0,"0,004","0,001","7,226","6,004"
2025-07-31 07:40:00,0,"0,004","0,001","7,001","6,036"
2025-07-31 07:35:00,0,"0,004","0,001","6,74","5,66"
2025-07-31 07:30:00,0,"0,004","0,001","6,682","5,512"
2025-07-31 07:25:00,0,"0,004","0,001","6,731","5,562"
2025-07-31 07:20:00,0,"0,004","0,001","6,768","5,687"
2025-07-31 07:15:00,0,"0,004","0,001","6,733","5,455"
2025-07-31 07:10:00,0,"0,004","0,001","6,71","5,567"
2025-07-31 07:05:00,0,"0,004","0,001","6,62","5,542"
2025-07-31 07:00:00,0,"0,004","0,001","6,596","5,545"
2025-07-31 06:55:00,0,"0,004","0,001","6,569","5,868"
2025-07-31 06:50:00,0,"0,004","0,001","6,755","5,504"
2025-07-31 06:45:00,0,"0,004","0,001","6,563","5,575"
2025-07-31 06:40:00,0,"0,004","0,001","6,601","5,476"
2025-07-31 06:35:00,0,"0,004","0,001","6,624","5,446"
2025-07-31 06:30:00,0,"0,004","0,001","6,587","5,598"
2025-07-31 06:25:00,0,"0,004","0,001","6,564","5,338"
2025-07-31 06:20:00,0,"0,004","0,001","6,391","5,31"
2025-07-31 06:15:00,0,"0,004","0,001","6,083","5,173"
2025-07-31 06:10:00,0,"0,004","0,001","5,653","5,162"
2025-07-31 06:05:00,0,"0,004","0,001","5,56","4,865"
2025-07-31 06:00:00,0,"0,004","0,001","5,504","4,68"
2025-07-31 05:55:00,0,"0,004","0,001","5,49","4,864"
2025-07-31 05:50:00,0,"0,004","0,001","5,536","4,724"
2025-07-31 05:45:00,0,"0,004","0,001","5,226","4,43"
2025-07-31 05:40:00,0,"0,004","0,001","3,821","3,334"
2025-07-31 05:35:00,0,"0,004","0,001","4,018","2,747"
2025-07-31 05:30:00,0,"0,004","0,001","3,844","2,695"
2025-07-31 05:25:00,0,"0,004","0,001","3,823","2,718"
2025-07-31 05:20:00,0,"0,004","0,001","3,755","2,777"
2025-07-31 05:15:00,0,"0,004","0,001","3,742","2,76"
2025-07-31 05:10:00,0,"0,004","0,001","3,74","2,784"
2025-07-31 05:05:00,0,"0,004","0,001","3,842","2,675"
2025-07-31 05:00:00,0,"0,004","0,001","3,937","2,648"
2025-07-31 04:55:00,0,"0,004","0,001","3,97","2,663"
2025-07-31 04:50:00,0,"0,004","0,001","3,823","2,833"
2025-07-31 04:45:00,0,"0,004","0,001","3,838","2,726"
2025-07-31 04:40:00,0,"0,004","0,001","3,847","2,731"
2025-07-31 04:35:00,0,"0,004","0,001","3,834","2,74"
2025-07-31 04:30:00,0,"0,004","0,001","3,775","2,742"
2025-07-31 04:25:00,0,"0,004","0,001","3,773","2,857"
2025-07-31 04:20:00,0,"0,004","0,001","3,956","2,746"
2025-07-31 04:15:00,0,"0,004","0,001","3,797","2,693"
2025-07-31 04:10:00,0,"0,004","0,001","3,829","2,669"
2025-07-31 04:05:00,0,"0,004","0,001","3,876","2,695"
2025-07-31 04:00:00,0,"0,004","0,001","3,942","2,818"
2025-07-31 03:55:00,0,"0,004","0,001","3,896","2,711"
2025-07-31 03:50:00,0,"0,004","0,001","3,841","2,77"
2025-07-31 03:45:00,0,"0,004","0,001","3,836","2,714"
2025-07-31 03:40:00,0,"0,004","0,001","3,918","2,707"
2025-07-31 03:35:00,0,"0,004","0,001","3,761","2,758"
2025-07-31 03:30:00,0,"0,004","0,001","3,766","2,639"
2025-07-31 03:25:00,0,"0,004","0,001","3,8","2,64"
2025-07-31 03:20:00,0,"0,004","0,001","3,822","2,75"
2025-07-31 03:15:00,0,"0,004","0,001","3,83","2,731"
2025-07-31 03:10:00,0,"0,004","0,001","3,848","2,875"
2025-07-31 03:05:00,0,"0,004","0,001","4,052","2,749"
2025-07-31 03:00:00,0,"0,004","0,001","3,954","2,747"
2025-07-31 02:55:00,0,"0,004","0,001","3,906","2,736"
2025-07-31 02:50:00,0,"0,004","0,001","3,8","2,771"
2025-07-31 02:45:00,0,"0,004","0,001","3,784","2,742"
2025-07-31 02:40:00,0,"0,004","0,001","3,793","2,671"
2025-07-31 02:35:00,0,"0,004","0,001","3,858","2,713"
2025-07-31 02:30:00,0,"0,004","0,001","3,864","2,737"
2025-07-31 02:25:00,0,"0,004","0,001","4,064","2,831"
2025-07-31 02:20:00,0,"0,004","0,001","3,877","2,764"
2025-07-31 02:15:00,0,"0,004","0,001","3,876","2,736"
2025-07-31 02:10:00,0,"0,004","0,001","3,87","2,71"
2025-07-31 02:05:00,0,"0,004","0,001","3,806","2,648"
2025-07-31 02:00:00,0,"0,004","0,001","3,869","2,755"
2025-07-31 01:55:00,0,"0,004","0,001","3,895","2,645"
2025-07-31 01:50:00,0,"0,004","0,001","3,954","2,741"
2025-07-31 01:45:00,0,"0,004","0,001","3,931","2,744"
2025-07-31 01:40:00,0,"0,004","0,001","3,874","2,746"
2025-07-31 01:35:00,0,"0,004","0,001","3,886","2,854"
2025-07-31 01:30:00,0,"0,004","0,001","3,882","2,746"
2025-07-31 01:25:00,0,"0,004","0,001","3,876","2,73"
2025-07-31 01:20:00,0,"0,004","0,001","3,872","2,725"
2025-07-31 01:15:00,0,"0,004","0,001","3,829","2,704"
2025-07-31 01:10:00,0,"0,004","0,001","3,959","2,744"
2025-07-31 01:05:00,0,"0,004","0,001","3,798","2,742"
2025-07-31 01:00:00,0,"0,004","0,001","3,905","2,754"
2025-07-31 00:55:00,0,"0,004","0,001","3,964","2,748"
2025-07-31 00:50:00,0,"0,004","0,001","3,883","2,897"
2025-07-31 00:45:00,0,"0,004","0,001","3,898","2,722"
2025-07-31 00:40:00,0,"0,004","0,001","3,9","2,713"
2025-07-31 00:35:00,0,"0,004","0,001","4,087","2,654"
2025-07-31 00:30:00,0,"0,004","0,001","3,875","2,651"
2025-07-31 00:25:00,0,"0,004","0,001","3,816","2,791"
2025-07-31 00:20:00,0,"0,004","0,001","3,826","2,705"
2025-07-31 00:15:00,0,"0,004","0,001","3,84","2,707"
2025-07-31 00:10:00,0,"0,004","0,001","3,865","2,742"
2025-07-31 00:05:00,0,"0,004","0,001","3,87","2,744"
2025-07-31 00:00:00,0,"0,004","0,001","4,158","2,868"
2025-07-30 23:55:00,0,"0,004","0,001","3,964","2,813"
2025-07-30 23:50:00,0,"0,004","0,001","3,887","2,669"
2025-07-30 23:45:00,0,"0,004","0,001","3,888","2,669"
2025-07-30 23:40:00,0,"0,004","0,001","3,839","2,698"
2025-07-30 23:35:00,0,"0,004","0,001","3,811","2,818"
2025-07-30 23:30:00,0,"0,004","0,001","3,809","2,818"
2025-07-30 23:25:00,0,"0,004","0,001","4,01","2,762"
2025-07-30 23:20:00,0,"0,004","0,001","3,922","2,762"
2025-07-30 23:15:00,0,"0,004","0,001","3,919","2,808"
2025-07-30 23:10:00,0,"0,004","0,001","3,922","2,647"
2025-07-30 23:05:00,0,"0,004","0,001","3,946","2,719"
2025-07-30 23:00:00,0,"0,004","0,001","4,004","2,723"
2025-07-30 22:55:00,0,"0,004","0,001","3,936","2,808"
2025-07-30 22:50:00,0,"0,004","0,001","3,926","3,139"
2025-07-30 22:45:00,0,"0,004","0,001","3,911","3,27"
2025-07-30 22:40:00,0,"0,004","0,001","3,811","3,353"
2025-07-30 22:35:00,0,"0,004","0,001","3,846","3,317"
2025-07-30 22:30:00,0,"0,004","0,001","3,874","3,341"
2025-07-30 22:25:00,0,"0,004","0,001","3,88","3,272"
2025-07-30 22:20:00,0,"0,004","0,001","3,882","3,242"
2025-07-30 22:15:00,0,"0,004","0,001","4,028","3,347"
2025-07-30 22:10:00,0,"0,004","0,001","3,973","3,31"
2025-07-30 22:05:00,0,"0,004","0,001","3,926","3,43"
2025-07-30 22:00:00,0,"0,004","0,001","3,866","3,317"
2025-07-30 21:55:00,0,"0,004","0,001","3,804","3,334"
2025-07-30 21:50:00,0,"0,004","0,001","3,808","3,356"
2025-07-30 21:45:00,0,"0,004","0,001","3,87","3,298"
2025-07-30 21:40:00,0,"0,004","0,001","3,954","3,323"
2025-07-30 21:35:00,0,"0,004","0,001","3,979","3,209"
2025-07-30 21:30:00,0,"0,004","0,001","3,88","3,271"
2025-07-30 21:25:00,0,"0,004","0,001","3,884","3,256"
2025-07-30 21:20:00,0,"0,004","0,001","3,881","3,398"
2025-07-30 21:15:00,0,"0,004","0,001","3,902","3,293"
2025-07-30 21:10:00,0,"0,004","0,001","3,894","3,352"
2025-07-30 21:05:00,0,"0,004","0,001","3,923","3,305"
2025-07-30 21:00:00,0,"0,004","0,001","3,896","3,378"
2025-07-30 20:55:00,0,"0,004","0,001","3,866","3,371"
2025-07-30 20:50:00,0,"0,004","0,001","3,866","3,26"
2025-07-30 20:45:00,0,"0,004","0,001","3,872","3,469"
2025-07-30 20:40:00,0,"0,004","0,001","3,862","4,16"
2025-07-30 20:35:00,0,"0,004","0,001","3,884","4,284"
2025-07-30 20:30:00,0,"0,004","0,001","4,061","4,165"
2025-07-30 20:25:00,0,"0,004","0,001","3,814","4,166"
2025-07-30 20:20:00,0,"0,004","0,001","3,78","4,571"
2025-07-30 20:15:00,0,"0,004","0,001","3,814","4,562"
2025-07-30 20:10:00,0,"0,004","0,001","3,808","4,42"
2025-07-30 20:05:00,0,"0,004","0,001","3,923","4,589"
2025-07-30 20:00:00,0,"0,004","0,001","5,948","4,882"
2025-07-30 19:55:00,0,"0,004","0,001","6,526","5,027"
2025-07-30 19:50:00,0,"0,004","0,001","6,353","5,186"
2025-07-30 19:45:00,0,"0,004","0,001","6,22","5,425"
2025-07-30 19:40:00,0,"0,004","0,001","6,204","5,584"
2025-07-30 19:35:00,0,"0,004","0,001","6,209","5,736"
2025-07-30 19:30:00,0,"0,004","0,001","6,23","5,669"
2025-07-30 19:25:00,0,"0,004","0,001","6,338","5,606"
2025-07-30 19:20:00,0,"0,004","0,001","6,545","5,594"
2025-07-30 19:15:00,0,"0,004","0,001","6,408","6,575"
2025-07-30 19:10:00,0,"0,004","0,001","6,326","5,549"
2025-07-30 19:05:00,0,"0,004","0,001","6,307","5,526"
2025-07-30 19:00:00,0,"0,004","0,001","6,283","5,519"
2025-07-30 18:55:00,0,"0,004","0,001","6,371","5,612"
2025-07-30 18:50:00,0,"0,004","0,001","6,432","5,452"
2025-07-30 18:45:00,0,"0,004","0,001","6,542","5,393"
2025-07-30 18:40:00,0,"0,004","0,001","6,406","5,47"
2025-07-30 18:35:00,0,"0,004","0,001","6,428","5,628"
2025-07-30 18:30:00,0,"0,004","0,001","6,461","5,592"
2025-07-30 18:25:00,0,"0,004","0,001","6,467","5,683"
2025-07-30 18:20:00,0,"0,004","0,001","6,506","5,768"
2025-07-30 18:15:00,0,"0,004","0,001","6,515","5,725"
2025-07-30 18:10:00,0,"0,004","0,001","6,643","5,834"
2025-07-30 18:05:00,0,"0,004","0,001","6,353","5,792"
2025-07-30 18:00:00,0,"0,004","0,001","6,338","5,696"
2025-07-30 17:55:00,0,"0,004","0,001","6,359","5,778"
2025-07-30 17:50:00,0,"0,004","0,001","6,476","5,878"
2025-07-30 17:45:00,0,"0,004","0,001","6,52","5,764"
2025-07-30 17:40:00,0,"0,004","0,001","6,577","5,789"
2025-07-30 17:35:00,0,"0,004","0,001","6,395","5,825"
2025-07-30 17:30:00,0,"0,004","0,001","6,49","6,065"
2025-07-30 17:25:00,0,"0,004","0,001","6,517","5,86"
2025-07-30 17:20:00,0,"0,004","0,001","6,455","5,756"
2025-07-30 17:15:00,0,"0,004","0,001","6,587","5,808"
2025-07-30 17:10:00,0,"0,004","0,001","6,638","5,965"
2025-07-30 17:05:00,0,"0,004","0,001","6,617","5,801"
2025-07-30 17:00:00,0,"0,004","0,001","6,846","5,873"
2025-07-30 16:55:00,0,"0,004","0,001","6,752","5,844"
2025-07-30 16:50:00,0,"0,004","0,001","6,649","6,301"
2025-07-30 16:45:00,0,"0,004","0,001","6,84","6,518"
2025-07-30 16:40:00,0,"0,004","0,001","6,716","6,324"
2025-07-30 16:35:00,0,"0,004","0,001","6,57","6,199"
2025-07-30 16:30:00,0,"0,004","0,001","6,52","6,343"
2025-07-30 16:25:00,0,"0,004","0,001","6,546","6,268"
2025-07-30 16:20:00,0,"0,004","0,001","6,841","6,257"
2025-07-30 16:15:00,0,"0,004","0,001","6,988","6,283"
2025-07-30 16:10:00,0,"0,004","0,001","6,982","6,44"
2025-07-30 16:05:00,0,"0,004","0,001","7,135","6,271"
2025-07-30 16:00:00,0,"0,004","0,001","6,988","6,298"
2025-07-30 15:55:00,0,"0,006","3,772","6,989","6,437"
2025-07-30 15:50:00,0,"0,004","3,775","6,967","6,325"
2025-07-30 15:45:00,0,"0,005","3,769","6,926","6,22"
2025-07-30 15:40:00,0,"0,002","3,781","7,009","6,245"
2025-07-30 15:35:00,0,"-0,002","3,762","7,306","6,397"
2025-07-30 15:30:00,0,"-0,02","3,763","6,925","6,29"
2025-07-30 15:25:00,0,"-0,018","3,756","6,918","6,37"
2025-07-30 15:20:00,0,"-0,014","3,75","6,93","6,3"
2025-07-30 15:15:00,0,"-0,032","3,756","6,928","6,636"
2025-07-30 15:10:00,0,"-0,029","3,768","7,138","6,486"
2025-07-30 15:05:00,0,"0,041","3,74","7,039","6,379"
2025-07-30 15:00:00,0,"0,056","1,087","6,949","6,259"
2025-07-30 14:55:00,0,"0,004","0,001","6,84","6,239"
2025-07-30 14:50:00,0,"0,004","0,001","6,776","6,458"
2025-07-30 14:45:00,0,"0,004","0,001","6,751","6,622"
2025-07-30 14:40:00,0,"0,004","0,001","6,955","6,36"
2025-07-30 14:35:00,0,"0,004","0,001","6,986","6,588"
2025-07-30 14:30:00,0,"0,004","0,001","6,944","6,277"
2025-07-30 14:25:00,0,"0,004","0,001","6,948","6,272"
2025-07-30 14:20:00,0,"0,004","0,001","6,932","6,503"
2025-07-30 14:15:00,0,"0,004","0,001","6,986","6,365"
2025-07-30 14:10:00,0,"0,004","0,001","6,937","6,362"
2025-07-30 14:05:00,0,"0,004","0,001","6,694","6,479"
2025-07-30 14:00:00,0,"0,004","0,001","6,68","6,361"
2025-07-30 13:55:00,0,"0,004","0,001","6,73","6,512"
2025-07-30 13:50:00,0,"0,004","0,001","6,778","6,536"
2025-07-30 13:45:00,0,"0,004","0,001","6,87","6,277"
2025-07-30 13:40:00,0,"0,004","0,001","6,814","6,287"
2025-07-30 13:35:00,0,"0,004","0,001","6,984","6,257"
2025-07-30 13:30:00,0,"0,004","0,001","6,775","6,272"
2025-07-30 13:25:00,0,"0,004","0,001","6,739","6,404"
2025-07-30 13:20:00,0,"0,004","0,001","6,775","6,283"
2025-07-30 13:15:00,0,"0,004","0,001","6,762","6,306"
2025-07-30 13:10:00,0,"0,004","0,001","6,852","6,277"
2025-07-30 13:05:00,0,"0,004","0,001","6,99","6,384"
2025-07-30 13:00:00,0,"0,004","0,001","7,025","6,298"
2025-07-30 12:55:00,0,"0,004","0,001","6,982","6,314"
2025-07-30 12:50:00,0,"0,004","0,001","7,086","6,269"
2025-07-30 12:45:00,0,"0,004","0,001","7,884","6,439"
2025-07-30 12:40:00,0,"0,004","0,001","7,75","6,392"
2025-07-30 12:35:00,0,"0,004","0,001","7,704","6,337"
2025-07-30 12:30:00,0,"0,004","0,001","7,386","6,289"
2025-07-30 12:25:00,0,"0,004","0,001","7,406","6,506"
2025-07-30 12:20:00,0,"0,004","0,001","7,242","6,336"
2025-07-30 12:15:00,0,"0,004","0,001","7,38","6,275"
2025-07-30 12:10:00,0,"0,004","0,001","7,415","6,384"
2025-07-30 12:05:00,0,"0,004","0,001","7,386","7,616"
2025-07-30 12:00:00,0,"0,004","0,001","7,529","6,334"
2025-07-30 11:55:00,0,"0,004","0,001","7,326","6,324"
2025-07-30 11:50:00,0,"0,004","0,001","7,302","6,564"
2025-07-30 11:45:00,0,"0,004","0,001","7,258","6,349"
2025-07-30 11:40:00,0,"0,004","0,001","7,639","6,239"
2025-07-30 11:35:00,0,"0,004","0,001","7,322","6,373"
2025-07-30 11:30:00,0,"0,004","0,001","7,464","6,388"
2025-07-30 11:25:00,0,"0,004","0,001","7,369","7,277"
2025-07-30 11:20:00,0,"0,004","0,001","7,403","7,769"
2025-07-30 11:15:00,0,"0,004","0,001","7,364","6,248"
2025-07-30 11:10:00,0,"0,004","0,001","7,252","6,251"
2025-07-30 11:05:00,0,"0,004","0,001","7,37","6,368"
2025-07-30 11:00:00,0,"0,004","0,001","7,388","6,242"
2025-07-30 10:55:00,0,"0,004","0,001","5,032","6,14"
2025-07-30 10:50:00,0,"0,004","0,001","4,016","6,313"
2025-07-30 10:45:00,0,"0,004","0,001","4,021","6,461"
2025-07-30 10:40:00,0,"0,004","0,001","3,994","6,263"
2025-07-30 10:35:00,0,"0,004","0,001","4,063","6,364"
2025-07-30 10:30:00,0,"0,004","0,001","4,399","6,32"
2025-07-30 10:25:00,0,"0,004","0,001","4,67","6,289"
2025-07-30 10:20:00,0,"0,004","0,001","4,598","5,876"
2025-07-30 10:15:00,0,"0,004","0,001","4,54","6,012"
2025-07-30 10:10:00,0,"0,004","0,001","4,538","5,806"
2025-07-30 10:05:00,0,"0,004","0,001","4,547","5,813"
2025-07-30 10:00:00,0,"0,004","0,001","4,39","5,735"
2025-07-30 09:55:00,0,"0,004","0,001","4,403","5,888"
2025-07-30 09:50:00,0,"0,004","0,001","4,69","5,85"
2025-07-30 09:45:00,0,"0,004","0,001","4,208","5,814"
2025-07-30 09:40:00,0,"0,004","0,001","4,244","6,264"
2025-07-30 09:35:00,0,"0,004","0,001","4,248","7,142"
2025-07-30 09:30:00,0,"0,004","0,001","4,26","7,559"
2025-07-30 09:25:00,0,"0,004","0,001","4,598","7,324"
2025-07-30 09:20:00,0,"0,004","0,001","4,483","7,327"
2025-07-30 09:15:00,0,"0,004","0,001","4,489","7,882"
2025-07-30 09:10:00,0,"0,004","0,001","4,501","6,868"
2025-07-30 09:05:00,0,"0,004","0,001","4,463","6,82"
2025-07-30 09:00:00,0,"0,004","0,001","4,744","6,87"
2025-07-30 08:55:00,0,"0,004","0,001","5,538","7,048"
2025-07-30 08:50:00,0,"0,004","0,001","4,757","6,938"
2025-07-30 08:45:00,0,"0,004","0,001","4,349","6,938"
2025-07-30 08:40:00,0,"0,004","0,001","4,354","6,943"
2025-07-30 08:35:00,0,"0,004","0,001","4,349",7
2025-07-30 08:30:00,0,"0,004","0,001","4,34","6,937"
2025-07-30 08:25:00,0,"0,004","0,001","4,324","6,924"
2025-07-30 08:20:00,0,"0,004","0,001","4,418","6,964"
2025-07-30 08:15:00,0,"0,004","0,001","4,218","6,678"
2025-07-30 08:10:00,0,"0,004","0,001","4,202","5,946"
2025-07-30 08:05:00,0,"0,004","0,001","4,178","5,971"
2025-07-30 08:00:00,0,"0,004","0,001","4,205","5,83"
2025-07-30 07:55:00,0,"0,004","0,001","4,288","5,86"
2025-07-30 07:50:00,0,"0,004","0,001","4,594","5,832"
2025-07-30 07:45:00,0,"0,004","0,001","4,733","5,846"
2025-07-30 07:40:00,0,"0,004","0,001","4,369","5,848"
2025-07-30 07:35:00,0,"0,004","0,001","4,34","7,154"
2025-07-30 07:30:00,0,"0,004","0,001","4,354","5,855"
2025-07-30 07:25:00,0,"0,004","0,001","4,264","5,845"
2025-07-30 07:20:00,0,"0,004","0,001","4,255","5,956"
2025-07-30 07:15:00,0,"0,004","0,001","4,007","5,738"
2025-07-30 07:10:00,0,"0,004","0,001","4,054","5,818"
2025-07-30 07:05:00,0,"0,004","0,001","3,828","5,845"
2025-07-30 07:00:00,0,"0,004","0,001","3,804","5,802"
2025-07-30 06:55:00,0,"0,004","0,001","3,868","5,992"
2025-07-30 06:50:00,0,"0,004","0,001","3,895","5,668"
2025-07-30 06:45:00,0,"0,004","0,001","3,744","4,915"
2025-07-30 06:40:00,0,"0,004","0,001","3,674","4,801"
2025-07-30 06:35:00,0,"0,004","0,001","3,959","4,922"
2025-07-30 06:30:00,0,"0,004","0,001","3,817","4,873"
2025-07-30 06:25:00,0,"0,004","0,001","3,827","4,92"
2025-07-30 06:20:00,0,"0,004","0,001","3,827","4,807"
2025-07-30 06:15:00,0,"0,004","0,001","3,827","4,478"
2025-07-30 06:10:00,0,"0,004","0,001","3,761","4,358"
2025-07-30 06:05:00,0,"0,004","0,001","3,703","4,343"
2025-07-30 06:00:00,0,"0,004","0,001","3,892","4,343"
2025-07-30 05:55:00,0,"0,004","0,001","3,707","4,36"
2025-07-30 05:50:00,0,"0,004","0,001","3,666","4,374"
2025-07-30 05:45:00,0,"0,004","0,001","3,718","4,399"
2025-07-30 05:40:00,0,"0,004","0,001","3,72","4,404"
2025-07-30 05:35:00,0,"0,004","0,001","3,731","4,445"
2025-07-30 05:30:00,0,"0,004","0,001","3,743","4,488"
2025-07-30 05:25:00,0,"0,004","0,001","3,932","4,38"
2025-07-30 05:20:00,0,"0,004","0,001","3,75","4,376"
2025-07-30 05:15:00,0,"0,004","0,001","3,739","4,355"
2025-07-30 05:10:00,0,"0,004","0,001","2,095","3,842"
2025-07-30 05:05:00,0,"0,004","0,001","1,175","3,238"
2025-07-30 05:00:00,0,"0,004","0,001","1,204","3,258"
2025-07-30 04:55:00,0,"0,004","0,001","1,328","3,476"
2025-07-30 04:50:00,0,"0,004","0,001","1,494","3,074"
2025-07-30 04:45:00,0,"0,004","0,001","1,246","2,724"
2025-07-30 04:40:00,0,"0,004","0,001","1,256","2,78"
2025-07-30 04:35:00,0,"0,004","0,001","1,258","2,852"
2025-07-30 04:30:00,0,"0,004","0,001","1,26","2,684"
2025-07-30 04:25:00,0,"0,004","0,001","1,256","2,672"
2025-07-30 04:20:00,0,"0,004","0,001","1,192","2,681"
2025-07-30 04:15:00,0,"0,004","0,001","1,368","2,782"
2025-07-30 04:10:00,0,"0,004","0,001","1,184","2,894"
2025-07-30 04:05:00,0,"0,004","0,001","1,226","2,749"
2025-07-30 04:00:00,0,"0,004","0,001","1,28","2,771"
2025-07-30 03:55:00,0,"0,004","0,001","1,345","2,779"
2025-07-30 03:50:00,0,"0,004","0,001","1,32","2,782"
2025-07-30 03:45:00,0,"0,004","0,001","1,267","2,896"
2025-07-30 03:40:00,0,"0,004","0,001","1,326","2,728"
2025-07-30 03:35:00,0,"0,004","0,001","1,404","2,701"
2025-07-30 03:30:00,0,"0,004","0,001","1,217","2,742"
2025-07-30 03:25:00,0,"0,004","0,001","1,187","2,807"
2025-07-30 03:20:00,0,"0,004","0,001","1,187","2,837"
2025-07-30 03:15:00,0,"0,004","0,001","1,201","2,825"
2025-07-30 03:10:00,0,"0,004","0,001","1,249","2,792"
2025-07-30 03:05:00,0,"0,004","0,001","1,25","2,788"
2025-07-30 03:00:00,0,"0,004","0,001","1,498","2,861"
2025-07-30 02:55:00,0,"0,004","0,001","1,357","2,783"
2025-07-30 02:50:00,0,"0,004","0,001","1,29","2,716"
2025-07-30 02:45:00,0,"0,004","0,001","1,261","2,729"
2025-07-30 02:40:00,0,"0,004","0,001","1,238","2,692"
2025-07-30 02:35:00,0,"0,004","0,001","1,18","2,858"
2025-07-30 02:30:00,0,"0,004","0,001","1,178","2,748"
2025-07-30 02:25:00,0,"0,004","0,001","1,355","2,756"
2025-07-30 02:20:00,0,"0,004","0,001","1,232","2,83"
2025-07-30 02:15:00,0,"0,004","0,001","1,241","2,843"
2025-07-30 02:10:00,0,"0,004","0,001","1,243","2,954"
2025-07-30 02:05:00,0,"0,004","0,001","1,254","2,809"
2025-07-30 02:00:00,0,"0,004","0,001","1,331","2,767"
2025-07-30 01:55:00,0,"0,004","0,001","1,346","2,767"
2025-07-30 01:50:00,0,"0,004","0,001","1,438","2,842"
2025-07-30 01:45:00,0,"0,004","0,001","1,18","2,874"
2025-07-30 01:40:00,0,"0,004","0,001","1,17","2,754"
2025-07-30 01:35:00,0,"0,004","0,001","1,17","2,756"
2025-07-30 01:30:00,0,"0,004","0,001","1,208","2,766"
2025-07-30 01:25:00,0,"0,004","0,001","1,231","2,969"
2025-07-30 01:20:00,0,"0,004","0,001","1,261","2,75"
2025-07-30 01:15:00,0,"0,004","0,001","1,394","2,816"
2025-07-30 01:10:00,0,"0,004","0,001","1,252","2,845"
2025-07-30 01:05:00,0,"0,004","0,001","1,288","2,833"
2025-07-30 01:00:00,0,"0,004","0,001","1,367","2,989"
2025-07-30 00:55:00,0,"0,004","0,001","1,292","2,85"
2025-07-30 00:50:00,0,"0,004","0,001","1,198","2,824"
2025-07-30 00:45:00,0,"0,004","0,001","1,254","2,831"
2025-07-30 00:40:00,0,"0,004","0,001","1,33","2,934"
2025-07-30 00:35:00,0,"0,004","0,001","1,259","2,77"
2025-07-30 00:30:00,0,"0,004","0,001","1,264","2,696"
2025-07-30 00:25:00,0,"0,004","0,001","1,267","2,759"
2025-07-30 00:20:00,0,"0,004","0,001","1,274","2,766"
2025-07-30 00:15:00,0,"0,004","0,001","1,276","2,904"
2025-07-30 00:10:00,0,"0,004","0,001","1,464","2,826"
2025-07-30 00:05:00,0,"0,004","0,001","1,339","2,783"
2025-07-30 00:00:00,0,"0,004","0,001","1,289","2,729"
2025-07-29 23:55:00,0,"0,004","0,001","1,201","2,866"
2025-07-29 23:50:00,0,"0,004","0,001","1,201","2,717"
2025-07-29 23:45:00,0,"0,004","0,001","1,255","2,718"
2025-07-29 23:40:00,0,"0,004","0,001","1,261","2,771"
2025-07-29 23:35:00,0,"0,004","0,001","1,435","2,939"
2025-07-29 23:30:00,0,"0,004","0,001","1,271","2,768"
2025-07-29 23:25:00,0,"0,004","0,001","1,277","2,738"
2025-07-29 23:20:00,0,"0,004","0,001","1,279","2,771"
2025-07-29 23:15:00,0,"0,004","0,001","1,25","2,809"
2025-07-29 23:10:00,0,"0,004","0,001","1,29","2,732"
2025-07-29 23:05:00,0,"0,004","0,001","1,315","3,496"
2025-07-29 23:00:00,0,"0,004","0,001","1,502","4,314"
2025-07-29 22:55:00,0,"0,004","0,001","1,38","4,326"
2025-07-29 22:50:00,0,"0,004","0,001","1,386","4,385"
2025-07-29 22:45:00,0,"0,004","0,001","1,399","4,403"
2025-07-29 22:40:00,0,"0,004","0,001","1,397","4,501"
2025-07-29 22:35:00,0,"0,004","0,001","1,392","4,321"
2025-07-29 22:30:00,0,"0,004","0,001","1,5","4,338"
2025-07-29 22:25:00,0,"0,004","0,001","1,34","4,223"
2025-07-29 22:20:00,0,"0,004","0,001","1,397","4,303"
2025-07-29 22:15:00,0,"0,004","0,001","1,423","4,3"
